date,value,realtime_start,realtime_end
2006-11-01,260614,2019-04-09,2019-04-09
2006-12-01,270232,2019-04-09,2019-04-09
2007-01-01,280098,2019-04-09,2019-04-09
2007-02-01,275052,2019-04-09,2019-04-09
2007-03-01,278405,2019-04-09,2019-04-09
2007-04-01,281745,2019-04-09,2019-04-09
2007-05-01,289401,2019-04-09,2019-04-09
2007-06-01,288080,2019-04-09,2019-04-09
2007-07-01,288841,2019-04-09,2019-04-09
2007-08-01,293431,2019-04-09,2019-04-09
2007-09-01,297339,2019-04-09,2019-04-09
2007-10-01,295943,2019-04-09,2019-04-09
2007-11-01,298893,2019-04-09,2019-04-09
2007-12-01,296694,2019-04-09,2019-04-09
2008-01-01,294251,2019-04-09,2019-04-09
2008-02-01,299323,2019-04-09,2019-04-09
2008-03-01,306539,2019-04-09,2019-04-09
2008-04-01,304512,2019-04-09,2019-04-09
2008-05-01,305320,2019-04-09,2019-04-09
2008-06-01,307558,2019-04-09,2019-04-09
2008-07-01,310609,2019-04-09,2019-04-09
2008-08-01,313684,2019-04-09,2019-04-09
2008-09-01,308559,2019-04-09,2019-04-09
2008-10-01,314332,2019-04-09,2019-04-09
2008-11-01,316897,2019-04-09,2019-04-09
2008-12-01,311957,2019-04-09,2019-04-09
2009-01-01,309552,2019-04-09,2019-04-09
2009-02-01,321367,2019-04-09,2019-04-09
2009-03-01,325481,2019-04-09,2019-04-09
2009-04-01,318896,2019-04-09,2019-04-09
2009-05-01,317075,2019-04-09,2019-04-09
2009-06-01,320961,2019-04-09,2019-04-09
2009-07-01,322593,2019-04-09,2019-04-09
2009-08-01,314453,2019-04-09,2019-04-09
2009-09-01,310870,2019-04-09,2019-04-09
2009-10-01,307866,2019-04-09,2019-04-09
2009-11-01,302635,2019-04-09,2019-04-09
2009-12-01,300330,2019-04-09,2019-04-09
2010-01-01,295857,2019-04-09,2019-04-09
2010-02-01,290265,2019-04-09,2019-04-09
2010-03-01,297753,2019-04-09,2019-04-09
2010-04-01,306401,2019-04-09,2019-04-09
2010-05-01,309314,2019-04-09,2019-04-09
2010-06-01,312059,2019-04-09,2019-04-09
2010-07-01,304301,2019-04-09,2019-04-09
2010-08-01,308370,2019-04-09,2019-04-09
2010-09-01,315041,2019-04-09,2019-04-09
2010-10-01,306567,2019-04-09,2019-04-09
2010-11-01,298865,2019-04-09,2019-04-09
2010-12-01,291499,2019-04-09,2019-04-09
2011-01-01,293342,2019-04-09,2019-04-09
2011-02-01,288064,2019-04-09,2019-04-09
2011-03-01,291080,2019-04-09,2019-04-09
2011-04-01,284253,2019-04-09,2019-04-09
2011-05-01,283016,2019-04-09,2019-04-09
2011-06-01,285299,2019-04-09,2019-04-09
2011-07-01,279032,2019-04-09,2019-04-09
2011-08-01,288049,2019-04-09,2019-04-09
2011-09-01,289752,2019-04-09,2019-04-09
2011-10-01,284000,2019-04-09,2019-04-09
2011-11-01,287650,2019-04-09,2019-04-09
2011-12-01,288925,2019-04-09,2019-04-09
2012-01-01,284957,2019-04-09,2019-04-09
2012-02-01,283211,2019-04-09,2019-04-09
2012-03-01,280225,2019-04-09,2019-04-09
2012-04-01,278253,2019-04-09,2019-04-09
2012-05-01,282579,2019-04-09,2019-04-09
2012-06-01,286161,2019-04-09,2019-04-09
2012-07-01,280857,2019-04-09,2019-04-09
2012-08-01,281035,2019-04-09,2019-04-09
2012-09-01,273915,2019-04-09,2019-04-09
2012-10-01,275342,2019-04-09,2019-04-09
2012-11-01,275087,2019-04-09,2019-04-09
2012-12-01,266653,2019-04-09,2019-04-09
2013-01-01,266262,2019-04-09,2019-04-09
2013-02-01,270886,2019-04-09,2019-04-09
2013-03-01,261469,2019-04-09,2019-04-09
2013-04-01,270774,2019-04-09,2019-04-09
2013-05-01,270435,2019-04-09,2019-04-09
2013-06-01,271586,2019-04-09,2019-04-09
2013-07-01,273523,2019-04-09,2019-04-09
2013-08-01,273849,2019-04-09,2019-04-09
2013-09-01,272223,2019-04-09,2019-04-09
2013-10-01,272800,2019-04-09,2019-04-09
2013-11-01,269969,2019-04-09,2019-04-09
2013-12-01,268114,2019-04-09,2019-04-09
2014-01-01,265034,2019-04-09,2019-04-09
2014-02-01,262649,2019-04-09,2019-04-09
2014-03-01,265005,2019-04-09,2019-04-09
2014-04-01,272571,2019-04-09,2019-04-09
2014-05-01,275295,2019-04-09,2019-04-09
2014-06-01,275368,2019-04-09,2019-04-09
2014-07-01,283240,2019-04-09,2019-04-09
2014-08-01,280788,2019-04-09,2019-04-09
2014-09-01,276240,2019-04-09,2019-04-09
2014-10-01,287610,2019-04-09,2019-04-09
2014-11-01,278056,2019-04-09,2019-04-09
2014-12-01,282808,2019-04-09,2019-04-09
2015-01-01,275397,2019-04-09,2019-04-09
2015-02-01,276697,2019-04-09,2019-04-09
2015-03-01,280331,2019-04-09,2019-04-09
2015-04-01,290743,2019-04-09,2019-04-09
2015-05-01,292776,2019-04-09,2019-04-09
2015-06-01,300101,2019-04-09,2019-04-09
2015-07-01,299702,2019-04-09,2019-04-09
2015-08-01,301115,2019-04-09,2019-04-09
2015-09-01,295449,2019-04-09,2019-04-09
2015-10-01,287449,2019-04-09,2019-04-09
2015-11-01,282402,2019-04-09,2019-04-09
2015-12-01,288741,2019-04-09,2019-04-09
2016-01-01,301465,2019-04-09,2019-04-09
2016-02-01,301131,2019-04-09,2019-04-09
2016-03-01,298525,2019-04-09,2019-04-09
2016-04-01,294277,2019-04-09,2019-04-09
2016-05-01,292306,2019-04-09,2019-04-09
2016-06-01,298381,2019-04-09,2019-04-09
2016-07-01,288219,2019-04-09,2019-04-09
2016-08-01,285715,2019-04-09,2019-04-09
2016-09-01,289486,2019-04-09,2019-04-09
2016-10-01,289702,2019-04-09,2019-04-09
2016-11-01,292584,2019-04-09,2019-04-09
2016-12-01,287247,2019-04-09,2019-04-09
2017-01-01,279057,2019-04-09,2019-04-09
2017-02-01,286401,2019-04-09,2019-04-09
2017-03-01,287948,2019-04-09,2019-04-09
2017-04-01,279115,2019-04-09,2019-04-09
2017-05-01,290473,2019-04-09,2019-04-09
2017-06-01,283592,2019-04-09,2019-04-09
2017-07-01,281171,2019-04-09,2019-04-09
2017-08-01,277945,2019-04-09,2019-04-09
2017-09-01,278435,2019-04-09,2019-04-09
2017-10-01,285901,2019-04-09,2019-04-09
2017-11-01,286334,2019-04-09,2019-04-09
2017-12-01,289517,2019-04-09,2019-04-09
2018-01-01,290311,2019-04-09,2019-04-09
2018-02-01,292227,2019-04-09,2019-04-09
2018-03-01,295203,2019-04-09,2019-04-09
2018-04-01,299405,2019-04-09,2019-04-09
2018-05-01,307504,2019-04-09,2019-04-09
2018-06-01,305364,2019-04-09,2019-04-09
2018-07-01,305144,2019-04-09,2019-04-09
2018-08-01,312605,2019-04-09,2019-04-09
2018-09-01,304654,2019-04-09,2019-04-09
2018-10-01,306402,2019-04-09,2019-04-09
2018-11-01,302078,2019-04-09,2019-04-09
2018-12-01,297296,2019-04-09,2019-04-09
2019-01-01,314373,2019-04-09,2019-04-09
2019-02-01,325769,2019-04-09,2019-04-09
