date,value,realtime_start,realtime_end
2017-02-01,279422,2019-04-09,2019-04-09
2017-03-01,280624,2019-04-09,2019-04-09
2017-04-01,272929,2019-04-09,2019-04-09
2017-05-01,283448,2019-04-09,2019-04-09
2017-06-01,276903,2019-04-09,2019-04-09
2017-07-01,274706,2019-04-09,2019-04-09
2017-08-01,271455,2019-04-09,2019-04-09
2017-09-01,271813,2019-04-09,2019-04-09
2017-10-01,279488,2019-04-09,2019-04-09
2017-11-01,279441,2019-04-09,2019-04-09
2017-12-01,282578,2019-04-09,2019-04-09
2018-01-01,283693,2019-04-09,2019-04-09
2018-02-01,285475,2019-04-09,2019-04-09
2018-03-01,288561,2019-04-09,2019-04-09
2018-04-01,292784,2019-04-09,2019-04-09
2018-05-01,300632,2019-04-09,2019-04-09
2018-06-01,298898,2019-04-09,2019-04-09
2018-07-01,298661,2019-04-09,2019-04-09
2018-08-01,306065,2019-04-09,2019-04-09
2018-09-01,298513,2019-04-09,2019-04-09
2018-10-01,300258,2019-04-09,2019-04-09
2018-11-01,296240,2019-04-09,2019-04-09
2018-12-01,291796,2019-04-09,2019-04-09
2019-01-01,308686,2019-04-09,2019-04-09
2019-02-01,320117,2019-04-09,2019-04-09
