date,value,realtime_start,realtime_end
2008-05-01,26014,2019-04-09,2019-04-09
2008-06-01,28823,2019-04-09,2019-04-09
2008-07-01,30303,2019-04-09,2019-04-09
2008-08-01,31309,2019-04-09,2019-04-09
2008-09-01,30743,2019-04-09,2019-04-09
2008-10-01,28883,2019-04-09,2019-04-09
2008-11-01,26073,2019-04-09,2019-04-09
2008-12-01,22761,2019-04-09,2019-04-09
2009-01-01,19971,2019-04-09,2019-04-09
2009-02-01,20748,2019-04-09,2019-04-09
2009-03-01,22936,2019-04-09,2019-04-09
2009-04-01,24953,2019-04-09,2019-04-09
2009-05-01,26466,2019-04-09,2019-04-09
2009-06-01,30259,2019-04-09,2019-04-09
2009-07-01,31507,2019-04-09,2019-04-09
2009-08-01,31450,2019-04-09,2019-04-09
2009-09-01,31188,2019-04-09,2019-04-09
2009-10-01,28220,2019-04-09,2019-04-09
2009-11-01,25308,2019-04-09,2019-04-09
2009-12-01,21889,2019-04-09,2019-04-09
2010-01-01,18936,2019-04-09,2019-04-09
2010-02-01,18724,2019-04-09,2019-04-09
2010-03-01,21138,2019-04-09,2019-04-09
2010-04-01,23936,2019-04-09,2019-04-09
2010-05-01,25567,2019-04-09,2019-04-09
2010-06-01,29204,2019-04-09,2019-04-09
2010-07-01,29226,2019-04-09,2019-04-09
2010-08-01,31031,2019-04-09,2019-04-09
2010-09-01,31786,2019-04-09,2019-04-09
2010-10-01,27931,2019-04-09,2019-04-09
2010-11-01,25215,2019-04-09,2019-04-09
2010-12-01,21274,2019-04-09,2019-04-09
2011-01-01,18578,2019-04-09,2019-04-09
2011-02-01,18475,2019-04-09,2019-04-09
2011-03-01,20461,2019-04-09,2019-04-09
2011-04-01,22013,2019-04-09,2019-04-09
2011-05-01,23775,2019-04-09,2019-04-09
2011-06-01,27164,2019-04-09,2019-04-09
2011-07-01,26855,2019-04-09,2019-04-09
2011-08-01,29297,2019-04-09,2019-04-09
2011-09-01,28990,2019-04-09,2019-04-09
2011-10-01,25957,2019-04-09,2019-04-09
2011-11-01,24014,2019-04-09,2019-04-09
2011-12-01,20828,2019-04-09,2019-04-09
2012-01-01,18084,2019-04-09,2019-04-09
2012-02-01,18440,2019-04-09,2019-04-09
2012-03-01,19494,2019-04-09,2019-04-09
2012-04-01,21311,2019-04-09,2019-04-09
2012-05-01,24063,2019-04-09,2019-04-09
